$$SOE
2459692.500000000, A.D. 2022-Apr-23 00:00:00.0000, 2.348523939839969E+08, -3.874585603958445E+08, -1.578127875243464E+07,
2459699.500000000, A.D. 2022-Apr-30 00:00:00.0000, 2.426340456452297E+08, -3.810063747401884E+08, -1.619458089184099E+07,
2459706.500000000, A.D. 2022-May-07 00:00:00.0000, 2.502882065469948E+08, -3.743538095762448E+08, -1.659936752996589E+07,
2459713.500000000, A.D. 2022-May-14 00:00:00.0000, 2.578096460971626E+08, -3.675025562984607E+08, -1.699534556057118E+07,
2459720.500000000, A.D. 2022-May-21 00:00:00.0000, 2.651931028892176E+08, -3.604544375770946E+08, -1.738222087711522E+07,
2459727.500000000, A.D. 2022-May-28 00:00:00.0000, 2.724332871764148E+08, -3.532114110859507E+08, -1.775969852473280E+07,
2459734.500000000, A.D. 2022-Jun-04 00:00:00.0000, 2.795248833528569E+08, -3.457755733792911E+08, -1.812748285385650E+07,
2459741.500000000, A.D. 2022-Jun-11 00:00:00.0000, 2.864625525999037E+08, -3.381491639091232E+08, -1.848527768925947E+07,
2459748.500000000, A.D. 2022-Jun-18 00:00:00.0000, 2.932409357500086E+08, -3.303345691634004E+08, -1.883278651765908E+07,
2459755.500000000, A.D. 2022-Jun-25 00:00:00.0000, 2.998546564096391E+08, -3.223343269511248E+08, -1.916971269992743E+07,
2459762.500000000, A.D. 2022-Jul-02 00:00:00.0000, 3.062983244868807E+08, -3.141511308906881E+08, -1.949575972617157E+07,
2459769.500000000, A.D. 2022-Jul-09 00:00:00.0000, 3.125665405262593E+08, -3.057878349132879E+08, -1.981063153555243E+07,
2459776.500000000, A.D. 2022-Jul-16 00:00:00.0000, 3.186539008087753E+08, -2.972474566872861E+08, -2.011403280775711E+07,
2459783.500000000, A.D. 2022-Jul-23 00:00:00.0000, 3.245550010310103E+08, -2.885331798742616E+08, -2.040566901856177E+07,
2459790.500000000, A.D. 2022-Jul-30 00:00:00.0000, 3.302644386574860E+08, -2.796483585562908E+08, -2.068524654171441E+07,
2459797.500000000, A.D. 2022-Aug-06 00:00:00.0000, 3.357768175550891E+08, -2.705965231687714E+08, -2.095247307464080E+07,
2459804.500000000, A.D. 2022-Aug-13 00:00:00.0000, 3.410867540975622E+08, -2.613813851661913E+08, -2.120705808762056E+07,
2459811.500000000, A.D. 2022-Aug-20 00:00:00.0000, 3.461888831814598E+08, -2.520068409053375E+08, -2.144871319377974E+07,
2459818.500000000, A.D. 2022-Aug-27 00:00:00.0000, 3.510778642315772E+08, -2.424769754516506E+08, -2.167715250563730E+07,
2459825.500000000, A.D. 2022-Sep-03 00:00:00.0000, 3.557483874532902E+08, -2.327960663964783E+08, -2.189209301011041E+07,
2459832.500000000, A.D. 2022-Sep-10 00:00:00.0000, 3.601951804312348E+08, -2.229685876371115E+08, -2.209325496848390E+07,
2459839.500000000, A.D. 2022-Sep-17 00:00:00.0000, 3.644130151124592E+08, -2.129992130961519E+08, -2.228036234449531E+07,
2459846.500000000, A.D. 2022-Sep-24 00:00:00.0000, 3.683967152416142E+08, -2.028928204048091E+08, -2.245314327063596E+07,
2459853.500000000, A.D. 2022-Oct-01 00:00:00.0000, 3.721411644930607E+08, -1.926544945441018E+08, -2.261133057692576E+07,
2459860.500000000, A.D. 2022-Oct-08 00:00:00.0000, 3.756413157111303E+08, -1.822895308911136E+08, -2.275466237716968E+07,
2459867.500000000, A.D. 2022-Oct-15 00:00:00.0000, 3.788922003310286E+08, -1.718034364400543E+08, -2.288288252942758E+07,
2459874.500000000, A.D. 2022-Oct-22 00:00:00.0000, 3.818889358003168E+08, -1.612019308516025E+08, -2.299574090837557E+07,
2459881.500000000, A.D. 2022-Oct-29 00:00:00.0000, 3.846267334944046E+08, -1.504909498904265E+08, -2.309299393065014E+07,
2459888.500000000, A.D. 2022-Nov-05 00:00:00.0000, 3.871009092186458E+08, -1.396766484722582E+08, -2.317440530148158E+07,
2459895.500000000, A.D. 2022-Nov-12 00:00:00.0000, 3.893068943250485E+08, -1.287654020151259E+08, -2.323974669837501E+07,
2459902.500000000, A.D. 2022-Nov-19 00:00:00.0000, 3.912402467144920E+08, -1.177638070103922E+08, -2.328879840318970E+07,
2459909.500000000, A.D. 2022-Nov-26 00:00:00.0000, 3.928966619734303E+08, -1.066786811714467E+08, -2.332134993827862E+07,
2459916.500000000, A.D. 2022-Dec-03 00:00:00.0000, 3.942719847944755E+08, -9.551706313114442E+07, -2.333720072175331E+07,
2459923.500000000, A.D. 2022-Dec-10 00:00:00.0000, 3.953622207064230E+08, -8.428621162827173E+07, -2.333616074316508E+07,
2459930.500000000, A.D. 2022-Dec-17 00:00:00.0000, 3.961635481150308E+08, -7.299360416694568E+07, -2.331805126232439E+07,
2459937.500000000, A.D. 2022-Dec-24 00:00:00.0000, 3.966723307363836E+08, -6.164693517427561E+07, -2.328270554487535E+07,
2459944.500000000, A.D. 2022-Dec-31 00:00:00.0000, 3.968851307473354E+08, -5.025411350861102E+07, -2.322996965657642E+07,
2459951.500000000, A.D. 2023-Jan-07 00:00:00.0000, 3.967987227380533E+08, -3.882325831487578E+07, -2.315970324639559E+07,
2459958.500000000, A.D. 2023-Jan-14 00:00:00.0000, 3.964101064617313E+08, -2.736269269071216E+07, -2.307178009462689E+07,
2459965.500000000, A.D. 2023-Jan-21 00:00:00.0000, 3.957165176943858E+08, -1.588093830282810E+07, -2.296608862343176E+07,
2459972.500000000, A.D. 2023-Jan-28 00:00:00.0000, 3.947154408183771E+08, -4.386711117868396E+06, -2.284253271906301E+07,
2459979.500000000, A.D. 2023-Feb-04 00:00:00.0000, 3.934046228599083E+08, 7.111084812603881E+06, -2.270103259540223E+07,
2459986.500000000, A.D. 2023-Feb-11 00:00:00.0000, 3.917820871226011E+08, 1.860336535112337E+07, -2.254152554589477E+07,
2459993.500000000, A.D. 2023-Feb-18 00:00:00.0000, 3.898461462902904E+08, 3.008087526282836E+07, -2.236396664124835E+07,
2460000.500000000, A.D. 2023-Feb-25 00:00:00.0000, 3.875954151972852E+08, 4.153419805513059E+07, -2.216832940609452E+07,
